user_id,movie_title,rating
,,
1,A Perfect Plan,5.6
1,Warrior,5.1
1,Michael Collins,2.1
1,Gettysburg,5.1
1,Stop-Loss,4.1
1,Abandon,4.5
1,Brokedown Palace,4.5
1,The Possession,9.7
1,Mrs. Winterbourne,1.7
1,Straw Dogs,8
1,The Hoax,1.1
1,Stone Cold,7.9
1,The Road,7.3
1,Sheena,3
1,Underclassman,8.9
1,Say It Isn't So,1.2
1,The World's Fastest Indian,7
1,Snakes on a Plane,5.2
1,Tank Girl,7.4
2,King's Ransom,9.8
2,Blindness,8.6
2,BloodRayne,9.6
2,Carnage,4.1
2,Where the Truth Lies,3.3
2,Cirque du Soleil: Worlds Away,7
2,Without Limits,4.7
2,Me and Orson Welles,3.6
2,The Best Offer,3.4
2,Bad Lieutenant: Port of Call New Orleans,9.2
2,A Turtle's Tale: Sammy's Adventures,8.4
2,Little White Lies,8.9
2,Love Ranch,1.3
2,The True Story of Puss'N Boots,1.4
2,Space Dogs,4.6
2,The Counselor,6.5
2,Ironclad,5.8
2,Waterloo,1.4
2,Kung Fu Killer,9.1
2,Red Sky,9.9
2,Dangerous Liaisons,4.8
2,On the Road,4.7
2,Star Trek IV: The Voyage Home,5.4
2,Rocky Balboa,1.5
2,Point Break,5.3
2,Scream 2,5.2
2,Jane Got a Gun,10
2,Think Like a Man Too,5.4
2,The Whole Nine Yards,2.4
2,Old School,4.2
2,The Fisher King,8
2,I Still Know What You Did Last Summer,8.4
2,Return to Me,8
2,Zack and Miri Make a Porno,1.1
2,Nurse Betty,9.4
2,The Men Who Stare at Goats,5.1
2,Double Take,4.7
2,Win a Date with Tad Hamilton!,2.5
2,Muppets from Space,8.8
2,The Wiz,2.7
2,Ready to Rumble,3
2,Play It to the Bone,9.5
2,I Don't Know How She Does It,6.9
2,Piranha 3D,5.1
2,Beyond the Sea,4.2
2,Meet the Deedles,2.7
2,The Princess and the Cobbler,2.3
2,The Bridge of San Luis Rey,6.7
2,Faster,4.1
2,Howl's Moving Castle,7.8
2,Zombieland,4.3
2,The Waterboy,1.8
2,Star Wars: Episode V - The Empire Strikes Back,4.1
2,Bad Boys,4.8
2,The Naked Gun 2½: The Smell of Fear,5.9
2,Final Destination,2.7
2,The Ides of March,4.4
2,Pitch Black,1.8
2,Someone Like You...,5.1
2,Her,2.4
2,Eddie the Eagle,2.9
